Region,Club,Address,City,State,ZipCode,Type,Sheets,Year_Fnded,Latitude,Longitude
Grand National Curling Club,Loggerhead Curling Club,8125 Lake Worth Rd,Lake Worth,Florida,33467.0,Arena,4.0,2019,26.617644899999995,-80.17432070000001
Grand National Curling Club,Tampa Bay Curling Club,3173 Cypress Ridge Boulevard,Wesley Chapel,Florida,33544.0,Arena,5.0,2017,28.1954995,-82.3804402
Grand National Curling Club,Orlando Curling Club,8701 Maitland Summit Blvd,Orlando,Florida,32810.0,Arena,5.0,2014,28.6361,-81.40231
Grand National Curling Club,Daytona Curling,2400 S Ridgewood Ave #63d,South Daytona,Florida,32119.0,Arena,5.0,2017,29.165029999999998,-81.0007
Mid-America Curling Association,Curling Club of Houston,7300 Bellerive Dr,Houston,Texas,77036.0,Arena,5.0,1973,29.713409999999996,-95.51290999999999
Minnesota Curling Association,Austin Curling Club,2525 W Anderson Ln,Austin Minnesota,Minnesota,78757.0,Arena,4.0,2014,30.356790000000004,-97.73269
Mid-America Curling Association,Lone Star Curling Club,9402 United Dr,Austin,Texas,78758.0,Arena,5.0,2006,30.379070000000002,-97.73024000000001
Grand National Curling Club,Charleston Curling Club,7665 Northwoods Blvd,Charleston,South Carolina,29406.0,Arena,2.0,2017,32.940059999999995,-80.048
Mid-America Curling Association,Dallas/Fort Worth Curling Club,211 Cowboys Parkway,Irving,Texas,75063.0,Arena,5.0,2002,32.94331,-96.94536
Mountain Pacific Curling Association,Curl San Diego,2283 Cosmos Ct,Carlsbad,California,92011.0,Arena,5.0,2006,33.121520000000004,-117.27023
Grand National Curling Club,Atlanta Curling Club,2300 Satellite Blvd NW,Atlanta,Georgia,30097.0,Arena,6.0,2010,33.97905,-84.09091
Mountain Pacific Curling Association,Hollywood Curling,8750 Van Nuys Blvd,Los Angeles,California,91402.0,Arena,5.0,2007,34.22834,-118.44958999999999
Grand National Curling Club,Coastal Carolina Curling Club,7201 Ogden Business Ln,Wilmington,North Carolina,28411.0,Arena,4.0,2011,34.273309999999995,-77.82173
Grand National Curling Club,Rocket City Curling Club,3185 Leeman Ferry Rd SW,Huntsville,Alabama,35801.0,Arena,4.0,2018,34.69298,-86.58808
Grand National Curling Club,Palmetto Curling Club,211 School St,Greenville,South Carolina,29651.0,Arena,4.0,2010,34.934509999999996,-82.22648000000001
Unaffiliated Clubs,Mid South Curling Club,10705 Ridgeway Industrial Dr.,Olive Branch,Mississippi,38654.0,Arena,4.0,2016,34.97234,-89.80118
