Address,Club,Lat,Link,Lon,Prov
"Abbey, SK S0N 0A0",Abbey Curling Club,50.582443,,-109.006514,Saskatchewan
"2555 McMillan Rd, Abbotsford, BC V3G 1C4, Canada",Abbotsford & District Curling Club,49.047663,https:abbotsfordcurling.com,-122.260993,British Columbia
"Aberdeen, SK S0K 0A0",Aberdeen Curling Club,52.323932,,-106.30416799999999,Saskatchewan
"Abernethy, SK S0A 0A0",Abernethy Curling Club,50.790996,,-103.345463,Saskatchewan
"240 90th Avenue S.E., Calgary, AB T2J 6P6",Acadia Community Curling Ass'n,50.972253,,-114.06436799999999,Alberta
 Acadia Valley  AB T0J 0A0   ,Acadia Valley Curling Club,51.151835,,-110.20843300000001,Alberta
 Acme  AB T0M 0A0   ,Acme Curling Club,51.497375,,-113.510896,Alberta
 242 Churchill Road North  Acton  ON L7J 2M2  ,Acton Curling Club,43.643603000000006,http:www.actoncurlingclub.com,-80.03687,Ontario
"102-275 Jensen Drive N.E., Airdrie, AB T4B 2B8",Airdrie Curling Club,51.295415000000006,http:www.airdriecurlingclub.ca,-114.01284299999999,Alberta
"Aklavik, NWT X0E 0A0",Aklavik Curling Club,61.066692,,-107.991707,Northwest Territories
 Alameda  SK S0C  0A0   ,Alameda  Curling Club,49.264851,,-102.280501,Saskatchewan
"3250 - 9th Avenue, Port Alberni, BC V9Y 4T2",Alberni Valley Curling Club,49.236462,http:www.albernicurling.com,-124.799154,British Columbia
Alder Flats AB   ,Alder Flats Curling Club,51.802862,,-114.63521899999999,Alberta
 138 Main St.  Alexandria  ON K0C 1A0  ,Alexandria Curling Club,45.175545,http:www.alexandriacurlingclub.ca,-75.290304,Ontario
 Alida  SK S0C 0B0   ,Alida Curling Club,49.234382000000004,,-102.174836,Saskatchewan
 Allan  SK S0K 0C0   ,Allan Curling Club,51.895657,,-106.05578100000001,Saskatchewan
"52 Albert St. W., Alliston, ON L9R 1H2",Alliston Curling Club,44.150359,http:www.allistoncurlingclub.ca,-79.869987,Ontario
 160 Bridge St.  Almonte  ON K0A 1A0  ,Almonte Curling Club,45.221812,http:www.almonte.ovca.com,-76.19546,Ontario
 Altamont  MB R0G 0A0   ,Altamont Curling Club,49.468006,,-98.448697,Manitoba
"227C 10th Avenue N.W., Altona, MB R0G 0B0",Altona Curling Club,49.103933000000005,http:www.altonacurlingclub.ca,-97.55445,Manitoba
"45 Prince Arthur St, Amherst, NS B4H 3L7, Canada",Amherst Curling Club,45.834551,https:amherstcurlingclub.com,-64.20819399999999,Nova Scotia
" Amix, AB T0B 0B0    ",Amix Curling Club,55.0,,-115.0,Alberta
 Andrew  AB T0B 4S0   ,Andrew Curling Club,53.828618999999996,,-112.478908,Alberta
"221 Church St S, Ajax, ON L1S 0A1",Annandale Curling Club,43.839897,https:annandalecurlingclub.com,-79.048238,Ontario
 Arborfield  SK S0E 0A0   ,Arborfield Curling Club,52.979473,,-104.133437,Saskatchewan
