Region,Club,Address,City,State,ZipCode,Type,Sheets,Year_Fnded,Latitude,Longitude
Grand National Curling Club,Loggerhead Curling Club,8125 Lake Worth Rd,Lake Worth,Florida,33467,Arena,4,2019,26.6176449,-80.1743207
Grand National Curling Club,Tampa Bay Curling Club,3173 Cypress Ridge Boulevard,Wesley Chapel,Florida,33544,Arena,5,2017,28.1954995,-82.3804402
Grand National Curling Club,Orlando Curling Club,8701 Maitland Summit Blvd,Orlando,Florida,32810,Arena,5,2014,28.6361,-81.40231
Grand National Curling Club,Daytona Curling,2400 S Ridgewood Ave #63d,South Daytona,Florida,32119,Arena,5,2017,29.16503,-81.0007
Mid-America Curling Association,Curling Club of Houston,7300 Bellerive Dr,Houston,Texas,77036,Arena,5,1973,29.71341,-95.51291
Minnesota Curling Association,Austin Curling Club,2525 W Anderson Ln,Austin Minnesota,Minnesota,78757,Arena,4,2014,30.35679,-97.73269
Mid-America Curling Association,Lone Star Curling Club,9402 United Dr,Austin,Texas,78758,Arena,5,2006,30.37907,-97.73024
Grand National Curling Club,Charleston Curling Club,7665 Northwoods Blvd,Charleston,South Carolina,29406,Arena,2,2017,32.94006,-80.048
Mid-America Curling Association,Dallas/Fort Worth Curling Club,211 Cowboys Parkway,Irving,Texas,75063,Arena,5,2002,32.94331,-96.94536
Mountain Pacific Curling Association,Curl San Diego,2283 Cosmos Ct,Carlsbad,California,92011,Arena,5,2006,33.12152,-117.27023
Mountain Pacific Curling Association,Coyotes Curling Club,2202 W Medtronic Way,Tempe,Arizona,85281,Dedicated,4,2003,33.41851,-111.97251
Grand National Curling Club,Peachtree Curling Association,4880 Lower Roswell Rd,Marietta,Georgia,30068,Dedicated,3,2015,33.96596,-84.40928
Grand National Curling Club,Atlanta Curling Club,2300 Satellite Blvd NW,Atlanta,Georgia,30097,Arena,6,2010,33.97905,-84.09091
Mountain Pacific Curling Association,Hollywood Curling,8750 Van Nuys Blvd,Los Angeles,California,91402,Arena,5,2007,34.22834,-118.44959
Grand National Curling Club,Coastal Carolina Curling Club,7201 Ogden Business Ln,Wilmington,North Carolina,28411,Arena,4,2011,34.27331,-77.82173
Grand National Curling Club,Rocket City Curling Club,3185 Leeman Ferry Rd SW,Huntsville,Alabama,35801,Arena,4,2018,34.69298,-86.58808
Grand National Curling Club,Palmetto Curling Club,211 School St,Greenville,South Carolina,29651,Arena,4,2010,34.93451,-82.22648
Unaffiliated Clubs,Mid South Curling Club,10705 Ridgeway Industrial Dr.,Olive Branch,Mississippi,38654,Arena,4,2016,34.97234,-89.80118
Mountain Pacific Curling Association,Road Runner Curling Club,9530 Tramway Blvd NE,Albuquerque,New Mexico,87122,Arena,2,2018,35.18915,-106.4954
Grand National Curling Club,Charlotte Curling Association,6525 Old Statesville Rd,Charlotte,North Carolina,28269,Dedicated,4,2010,35.31285,-80.83707
